Read 218 positive samples into dataset
Read 60 negative samples into dataset
Total number of parameters is 20354
Loss for epoch 1 is 12.567858457565308
Loss for epoch 2 is 11.814220368862152
Loss for epoch 3 is 11.657634854316711
Loss for epoch 4 is 11.572092652320862
Loss for epoch 5 is 11.509812146425247
Loss for epoch 6 is 11.457102119922638
Loss for epoch 7 is 11.410887837409973
Loss for epoch 8 is 11.372908234596252
Loss for epoch 9 is 11.342039912939072
Loss for epoch 10 is 11.314316779375076
Loss for epoch 11 is 11.291663378477097
Loss for epoch 12 is 11.27150958776474
Loss for epoch 13 is 11.254369646310806
Loss for epoch 14 is 11.23958671092987
Loss for epoch 15 is 11.225895881652832
Loss for epoch 16 is 11.212998151779175
Loss for epoch 17 is 11.200709819793701
Loss for epoch 18 is 11.188717067241669
Loss for epoch 19 is 11.177452385425568
Loss for epoch 20 is 11.166526108980179
Loss for epoch 21 is 11.156280398368835
Loss for epoch 22 is 11.145571172237396
Loss for epoch 23 is 11.135561794042587
Loss for epoch 24 is 11.126054137945175
Loss for epoch 25 is 11.115858256816864
Loss for epoch 26 is 11.106531500816345
Loss for epoch 27 is 11.096627801656723
Loss for epoch 28 is 11.086561411619186
Loss for epoch 29 is 11.077095240354538
Loss for epoch 30 is 11.067536264657974
Loss for epoch 31 is 11.057625621557236
Loss for epoch 32 is 11.04794117808342
Loss for epoch 33 is 11.038330882787704
Loss for epoch 34 is 11.028668820858002
Loss for epoch 35 is 11.018590837717056
Loss for epoch 36 is 11.009305983781815
Loss for epoch 37 is 10.999226242303848
Loss for epoch 38 is 10.989288210868835
Loss for epoch 39 is 10.980143904685974
Loss for epoch 40 is 10.969385951757431
Loss for epoch 41 is 10.959022790193558
Loss for epoch 42 is 10.949346005916595
Loss for epoch 43 is 10.93888944387436
Loss for epoch 44 is 10.928706496953964
Loss for epoch 45 is 10.918335139751434
Loss for epoch 46 is 10.90764930844307
Loss for epoch 47 is 10.896882057189941
Loss for epoch 48 is 10.88665622472763
Loss for epoch 49 is 10.87577137351036
Loss for epoch 50 is 10.865017741918564
Loss for epoch 51 is 10.853708118200302
Loss for epoch 52 is 10.842566788196564
Loss for epoch 53 is 10.831812411546707
Loss for epoch 54 is 10.820112317800522
Loss for epoch 55 is 10.807999908924103
Loss for epoch 56 is 10.796624183654785
Loss for epoch 57 is 10.785213887691498
Loss for epoch 58 is 10.77429512143135
Loss for epoch 59 is 10.762731969356537
Loss for epoch 60 is 10.751686215400696
